Subject,Research Topic,Key Findings,Quantitative Data,Authoritative Sources,Data Confidence,Error
Central Bank of Yemen operations and monetary policy 2015,Central Bank of Yemen operations and monetary policy 2015 in Yemen for the year 2015.,"The Central Bank of Yemen (CBY) in Sana'a faced a severe crisis in 2015 due to the escalation of the conflict, primarily characterized by the rapid depletion of its foreign currency reserves and a shift in operational focus. At the end of 2014, CBY's foreign currency reserves stood at **US$4.6 billion** [1]. During the first half of 2015, the CBY spent approximately **40 percent** of these reserves, an estimated **US$1.84 billion**, to finance the import of essential commodities such as wheat, rice, sugar, and oil derivatives, in an attempt to stabilize the economy and mitigate humanitarian impact [1]. Despite this massive expenditure, the CBY largely maintained the official exchange rate at **215 Yemeni Rials (YER) to US$1** throughout 2015, a policy that was abandoned only in 2016 [2]. Operationally, the CBY's cash distributions were significantly **reduced in 2015** to cover only basic operating expenses due to the sharp decrease in government revenues [3]. In a sign of continued, albeit limited, international engagement, the IMF authorized disbursements to Yemen totaling **SDR 95.2 million** (about **US$121 million**) on September 29, 2015, following a review of the nation's economic program [4]. The war's impact on the broader economy was catastrophic, with real GDP per capita plummeting by **58 percent** since the conflict began in 2015 [5].","- CBY foreign currency reserves (late 2014): US$4.6 billion
- Percentage of reserves spent (H1 2015): 40 percent
- Estimated reserves spent (H1 2015): US$1.84 billion
- Official exchange rate (maintained throughout 2015): 215 YER to US$1
- IMF disbursement authorized (September 29, 2015): SDR 95.2 million (approx. US$121 million)
- Real GDP per capita decline (since 2015): 58 percent","- Sana'a Center for Strategic Studies. *The CBY-Aden's Crisis of Confidence – Assessing the UN Panel of Experts’ Corruption Allegations*. 2021.
- Sana'a Center for Strategic Studies. *Yemen Without a Functioning Central Bank: The Loss of Basic Services*. 2016.
- Sana'a Center for Strategic Studies. *Beware of the failure of Yemen's central bank*. 2016.
- IMF. *News Brief: IMF Executive Board Completes Yemen Review and Approves Next Credit Tranche*. September 29, 2015.
- World Bank. *Yemen Economic Monitor*. Undated.","Medium. Key data points on foreign reserves and spending are sourced from a reputable regional think tank (Sana'a Center) which cites UN Panel of Experts reports. IMF data is confirmed from an official news brief. However, the exact date the CBY stopped paying salaries or officially changed its exchange rate policy in 2015 is not precisely dated, as the major policy shift occurred in 2016. The data is sufficient to describe the CBY's operations and policy in 2015.",
"Commercial banking sector Yemen 2015 (assets, deposits, loans, NPLs)","Commercial banking sector Yemen 2015 (assets, deposits, loans, NPLs)","The commercial banking sector in Yemen faced a severe crisis in 2015 following the escalation of the conflict in March 2015, leading to a significant disruption in financial operations and data reporting. The primary impact was the **freezing of commercial bank assets** at the Central Bank of Yemen (CBY), which was estimated to be around **YER 1.78 trillion** by the end of 2015 [1]. This crisis was exacerbated by the CBY's decision to stop providing liquidity to commercial banks, which in turn led to a halt in loan and deposit activities. Data from the CBY, as reported by CEIC, shows that consolidated commercial and Islamic bank deposits stood at **YER 2,197,537.40 million** in January 2015, just before the conflict escalated [2]. The **Non-Performing Loan (NPL) ratio** for commercial banks was already a concern, and while precise end-of-year 2015 data is scarce due to the conflict, one authoritative report indicated that the NPL ratio was approximately **23.3%** of gross loans, a figure significantly higher than the regional average [3]. The banking system's total assets were estimated to be around **YER 3.4 trillion** in 2015, with commercial banks holding a substantial portion of this [4]. The crisis marked a critical turning point, with the financial system effectively fragmenting and the CBY's ability to regulate and provide data severely compromised after the first quarter of 2015.","- Commercial and Islamic Banks Consolidated Deposits (January 2015): **2,197,537.40 million YER** [2]
- Estimated Commercial Bank Assets Frozen at CBY (End of 2015): **1.78 trillion YER** [1]
- Estimated Commercial Bank Non-Performing Loan (NPL) Ratio (2015): **23.3%** of gross loans [3]
- Estimated Total Banking System Assets (2015): **3.4 trillion YER** [4]","- DevelopmentAid. (2024). *Potential Impacts of the Financial Sector Crisis on Food Security in Yemen*. DevelopmentAid.
- CEIC Data. (2024). *Yemen Commercial and Islamic Banks: Con: Liabilities: Deposits*. Central Bank of Yemen.
- Raga, S. (2021). *Impact of conflict on the financial sector in Yemen*. Overseas Development Institute (ODI).
- World Bank. (2016). *Yemen Economic Update: April 2016*. World Bank Group.","Medium: Data for the full year 2015 is highly fragmented and inconsistent across sources due to the conflict and the subsequent split of the Central Bank of Yemen. Exact end-of-year figures for assets, deposits, and loans are unavailable from a single primary source. The reported figures are derived from a combination of pre-conflict data (Jan 2015) and post-conflict estimates/figures from secondary authoritative sources (World Bank, ODI, DevelopmentAid) which cite CBY data that is no longer publicly accessible.",
Islamic banking and microfinance sector Yemen 2015,Islamic banking and microfinance sector Yemen 2015,"The Islamic banking and microfinance sector in Yemen in 2015 experienced a catastrophic collapse following the escalation of the conflict, despite a positive outlook at the beginning of the year [1] [2]. Prior to the military intervention by the Arab coalition on **March 26, 2015** [2], the microfinance industry was expanding, with a notable increase in the Yemen Microfinance Network's (YMN) membership and the involvement of Islamic banks [2]. The largest microfinance institution, **Al-Amal Microfinance Bank (AMB)**, which operates on Islamic principles, reported a strong position in March 2015 with **44,013 active borrowers** and an active portfolio of **3.2 billion Yemeni Riyals (YR)** (US$15.1 million) [1]. However, the onset of the war led to an immediate and severe deterioration, with AMB's operational and financial performance indicators declining by **more than 90%** [1]. By the end of December 2015, AMB's active clients had fallen to **37,678 borrowers**, and its loan portfolio dropped to **2.4 YR billion** [1]. The broader microfinance sector, which included other Islamic institutions like **Kuraimi Islamic Microfinance Bank** and **Azal Islamic Microfinance Program**, saw its total number of borrowers from all MFIs per 1,000 adults fall to **5.8213** in 2015 [3]. The YMN reported that as of May 2015, the total Gross Loan Portfolio (GLP) for a sample of six MFIs, including the three Islamic ones, was **$21.1 million** [2]. In response to the crisis, AMB activated a humanitarian response program, distributing cash assistance totaling **2.7 YR billion** to **110,431 cases** by the end of the year [1]. The financial sector as a whole was severely impacted, with the World Bank noting that the fiscal deficit rose to **11.4 percent** in 2015, financed by the Central Bank of Yemen [4].

**References**
[1] Al-Amal Microfinance Bank (AMB), *Annual Report 2015*.
[2] Yemen Microfinance Network (YMN), *Microfinance in Yemen: Hopes vs. Reality, A first insight into the impact of war on the industry*, July 2015.
[3] International Monetary Fund (IMF), *Financial Access Survey*, via FRED, Federal Reserve Bank of St. Louis.
[4] World Bank, *Country Engagement Note for the Republic of Yemen for the Period FY17-FY18* (Report No. 106118-YE), June 2016.","*   Active borrowers of Al-Amal Microfinance Bank (AMB) in March 2015: 44,013 borrowers
*   Active loan portfolio of AMB in March 2015: 3.2 YR billion (US$15.1 million)
*   Active borrowers of AMB in December 2015: 37,678 borrowers
*   Active loan portfolio of AMB in December 2015: 2.4 YR billion
*   Decline in AMB's operational and financial performance indicators post-March 2015: More than 90%
*   Cash assistance distributed by AMB's humanitarian response by end of 2015: 2.7 YR billion
*   Beneficiaries of AMB's cash assistance by end of 2015: 110,431 cases
*   Borrowers from all Microfinance Institutions (MFIs) per 1000 adults in Yemen in 2015: 5.8213
*   Total Gross Loan Portfolio (GLP) for a sample of six MFIs (including three Islamic MFIs) as of May 2015: $21.1 million
*   Yemen's fiscal deficit in 2015: 11.4 percent of GDP","*   Al-Amal Microfinance Bank (AMB), Annual Report 2015
*   Yemen Microfinance Network (YMN), Microfinance in Yemen: Hopes vs. Reality, A first insight into the impact of war on the industry, July 2015
*   International Monetary Fund (IMF), Financial Access Survey, via FRED, Federal Reserve Bank of St. Louis
*   World Bank, Country Engagement Note for the Republic of Yemen for the Period FY17-FY18 (Report No. 106118-YE), June 2016","Medium: Data is sourced from official reports (AMB Annual Report, YMN Report, World Bank/IMF), providing high reliability for the reported figures. However, the data is incomplete due to the conflict, as the YMN report is based on a sample of six MFIs, and AMB's year-end figures reflect a partial collapse of the sector.",
Money exchange companies and remittances Yemen 2015,Money exchange companies and remittances Yemen 2015,"The year 2015 marked a critical turning point for Yemen's financial sector, as the escalation of the conflict in March led to a severe economic contraction, estimated at **33%** [4], and the collapse of the formal banking system. In this environment, remittances transitioned from a significant economic factor to the **primary source of foreign currency** for the country, surpassing oil exports [1]. Total remittances to Yemen for 2015 were estimated by the Central Bank of Yemen (CBY) at **US$3.3 billion** [1]. This vital inflow was channeled predominantly through the informal and semi-formal money exchange sector, which rapidly expanded its operations to fill the void left by commercial banks [2]. As of February 20, 2015, prior to the major escalation, the country had **551 individual moneychangers and money exchange companies** officially operating, a figure that included **38 licensed money exchange companies** [3]. The number of remittance operations processed by the money exchange network saw a significant increase, rising from **767 in 2015** to over 3,244 by 2019, highlighting the sector's immediate and growing role in maintaining household stability and facilitating the import of basic commodities [2]. The reliance on these money exchange companies intensified due to the inability of the formal banking sector to meet the demand for financial services, with these companies effectively taking over functions like trade financing [6]. This shift established the money exchange sector as the de facto backbone of Yemen's economy, a development critical for the survival of millions of Yemenis [1].","*   Total remittances to Yemen in 2015: US$3.3 billion
*   Economic contraction in Yemen in 2015: 33%
*   Number of officially operating money exchange entities (as of Feb 20, 2015): 551
*   Number of licensed money exchange companies (as of Feb 20, 2015): 38
*   Number of remittance operations processed by the money exchange network in 2015: 767","*   Sana'a Center for Strategic Studies, DeepRoot Consulting, and CARPO – Center for Applied Research in Partnership with the Orient. *Yemen’s Expatriate Workforce Under Threat: The Essential Role of Remittances in Mitigating Economic Collapse*. May 2019.
*   Raga, S. *Impact of conflict on the financial sector in Yemen*. Overseas Development Institute (ODI), 2021.
*   United Nations Security Council. *S/2015/125*. February 20, 2015.
*   Yemen Embassy. *BACKGROUND, CHALLENGES AND KEY ISSUES*. 2017.
*   Sana'a Center for Strategic Studies. *Yemen Without a Functioning Central Bank: The Loss of Monetary Policy*. November 2, 2016.
*   World Bank. *World Bank Document*. January 14, 2025.","High: Data points are sourced from authoritative international organizations (World Bank, UN) and credible regional think tanks (Sana'a Center/CARPO), with figures corroborated across multiple sources. The primary remittance figure is explicitly cited from the Central Bank of Yemen via a major report.",
"WFP Yemen operations, funding, and beneficiaries 2015","WFP Yemen operations, funding, and beneficiaries 2015 in Yemen for the year 2015.","The year 2015 was a period of critical operational transition for the World Food Programme (WFP) in Yemen, driven by the escalation of armed conflict in March, which resulted in a sharp decline in food security and left four out of five people requiring humanitarian assistance by year-end [1]. WFP's response shifted from the existing Protracted Relief and Recovery Operation (PRRO 200636) to a new Emergency Operation (EMOP 200890), which was approved to run from October 2015 until March 2016, with the PRRO officially closing on December 31, 2015 [3] [5]. Despite a temporary four-month evacuation of all international staff following the conflict's escalation, WFP managed operations remotely and successfully reached **8.9 million people** with food assistance throughout the year [1]. WFP was the largest UN recipient of humanitarian funding for Yemen in 2015, securing **US$359.7 million**, which accounted for **20.4%** of the total humanitarian funding reported to the OCHA Financial Tracking Service (FTS) [2]. The total requirement for the Yemen Strategic Response Plan 2015 was over US$1.6 billion [2]. The scale-up of operations was significant in the latter half of the year; for instance, in October 2015, WFP assisted **2,803,000 people** with **30,700 metric tons** of emergency food assistance, exceeding its target of 2 million for that period [4].","*   Total people reached with food assistance in 2015: 8.9 million people
*   Total funding received by WFP for Yemen in 2015 (as largest UN recipient): US$359.7 million
*   WFP funding as a share of total reported humanitarian funding for Yemen in 2015: 20.4%
*   Total requirements for the Yemen Strategic Response Plan 2015: US$1,600,821,448
*   Beneficiaries assisted in October 2015: 2,803,000 people
*   Metric tons of emergency food assistance distributed in October 2015: 30,700 metric tons","*   World Food Programme. *Year in Review 2015*. [https://publications.wfp.org/en/annual-report/2015/]
*   United Nations Office for the Coordination of Humanitarian Affairs (OCHA) Financial Tracking Service (FTS). *Yemen 2015 Summary*. [https://fts.unocha.org/countries/248/summary/2015]
*   World Food Programme. *Yemen: Safeguarding Lives, Improving Food Security and Nutrition, and Building Resilience (Operation 200636)*. [https://www.wfp.org/operations/200636-yemen-safeguarding-lives-improving-food-security-and-nutrition-and-building]
*   ReliefWeb. *WFP Yemen Situation Report #17, 19 November 2015*. [https://reliefweb.int/report/yemen/wfp-yemen-situation-report-17-19-november-2015]
*   World Food Programme. *PROFORMA FOR PROJECT REVISION SUBMISSION*. [https://executiveboard.wfp.org/document_download/WFP-0000068257]","High: Data is sourced directly from official World Food Programme (WFP) annual reports and the United Nations Office for the Coordination of Humanitarian Affairs (OCHA) Financial Tracking Service (FTS), which are the primary authoritative sources for these figures. The beneficiary and funding data are year-end aggregates, providing a comprehensive picture for 2015.",
"UNICEF Yemen programs, funding, and impact 2015","UNICEF Yemen programs, funding, and impact 2015 in Yemen for the year 2015.","The year 2015 marked a severe escalation of the humanitarian crisis in Yemen, beginning with the conflict in March, which drastically altered UNICEF's operational landscape and funding requirements. The initial appeal for the year was **US$60.1 million** [1], but this was swiftly revised to **US$182.6 million** following the conflict's onset to address the rapidly deteriorating situation [2] [3]. Despite the massive increase in need, donor support was considerable, with UNICEF reporting that **""just over three quarters""** of the revised appeal was funded by March 2016, suggesting an estimated final funding of approximately **US$137 million** [3]. The impact on children was immediate and devastating: nearly **10,000 children** under the age of five died from preventable diseases in 2015 alone [3]. Malnutrition was a critical concern, with an estimated **160,629 children** suffering from Severe Acute Malnutrition (SAM) at the start of the year [1]. Furthermore, the conflict severely disrupted basic services, leaving **13.4 million people** without access to safe drinking water [1]. In the education sector, **200,000 children** were affected by attacks on or closure of schools, prompting UNICEF to target **170,000 affected school children** with education supplies and psychosocial support [1]. UNICEF also received a **US$10 million** accelerated financing grant from the Global Partnership for Education (GPE) to support the education response [4]. The conflict led to a massive displacement crisis, with the number of internally displaced persons jumping from 334,000 at the end of 2014 to **2.4 million** by February 2016 [3]. The scale of violence against children was also alarming, with nearly **2,300 children** reported hurt in the year following the conflict's escalation [3].","*   Initial UNICEF Humanitarian Action for Children (HAC) appeal for 2015: US$60.1 million
*   Revised UNICEF appeal for 2015 (following conflict escalation): US$182.6 million
*   Estimated funding received for the 2015 appeal: Approximately US$137 million (based on ""just over three quarters"" of the revised appeal)
*   Children under five suffering from Severe Acute Malnutrition (SAM) at the start of 2015: 160,629 children
*   Total children under five suffering from acute malnutrition at the start of 2015: 847,445 children
*   Children under five who died from preventable diseases in 2015: Nearly 10,000 children
*   People lacking access to safe drinking water at the start of 2015: 13.4 million people
*   Children affected by attacks on or closure of schools: 200,000 children
*   Children reached with education supplies, psychosocial support, and peacebuilding activities (target): 170,000 children
*   Additional education funding received from the Global Partnership for Education (GPE): US$10 million","*   UNICEF. *Humanitarian Action for Children 2015: Yemen*. January 2015.
*   UNICEF. *Yemen - Humanitarian Situation Report (24 June - 7 July 2015)*. July 2015.
*   UNICEF. *THE IMPACT OF VIOLENCE AND CONFLICT ON YEMEN AND ITS CHILDREN*. March 2016.
*   Global Partnership for Education (GPE). *Completion report. Accelerated financing to Yemen*. 2015.","High: Data is sourced directly from official UNICEF and Global Partnership for Education reports, providing specific figures for funding, appeals, and impact. The primary limitation is the use of an estimated final funding figure (75% of the revised appeal) based on a UNICEF statement from March 2016, as the exact final figure for the 2015 calendar year was not explicitly stated in the reviewed documents.",
UAE humanitarian aid and development projects Yemen 2015,UAE humanitarian aid and development projects Yemen 2015 in Yemen for the year 2015.,"The United Arab Emirates (UAE) provided a substantial and focused humanitarian aid package to Yemen in 2015, totaling **AED 485 million**, which is equivalent to approximately **$132.03 million** [1] [2]. This assistance was a direct response to the escalating humanitarian crisis following the start of the conflict in March 2015 and was executed under the directives of the UAE leadership [1]. The aid positioned the UAE as the **largest donor** to the Yemen humanitarian crisis in 2015, contributing **31%** of the total international aid provided that year [4]. The aid was strategically distributed across critical sectors, with the largest portion, **AED 170 million** (~$46.27 million), allocated to **electric power** to support essential infrastructure [1]. Significant funds were also dedicated to **food** (**AED 131 million** or ~$35.67 million), **medical supplies** (**AED 73 million** or ~$19.87 million), and a variety of **relief items** (**AED 58 million** or ~$15.79 million) [1]. Furthermore, the UAE Red Crescent Society contributed **$2,066,433** to a specific Water, Sanitation, and Hygiene (WASH) project for the rehabilitation of water and sanitation networks and wells, demonstrating a focus on public health infrastructure [3]. While specific beneficiary numbers for the year 2015 alone are not detailed in the official reports, the aid was aimed at alleviating the suffering of the Yemeni people who faced severe shortages of food and medicine [1]. The aid was part of a broader, multi-year commitment that saw the UAE provide over $4 billion in assistance to Yemen between April 2015 and September 2018, reaching more than 16.7 million Yemenis [5].","*   Total UAE humanitarian aid to Yemen in 2015: AED 485 million
*   Total UAE humanitarian aid to Yemen in 2015 (USD equivalent): $132,027,000
*   Aid allocated to Electric Power: AED 170 million
*   Aid allocated to Food: AED 131 million
*   Aid allocated to Medical Supplies: AED 73 million
*   Aid allocated to Relief Items: AED 58 million
*   Contribution to Water, Sanitation, and Hygiene (WASH) project by UAE Red Crescent: $2,066,433
*   UAE's share of total aid to Yemen in 2015: 31%","*   Emirates News Agency (WAM). ""UAE's aid to Yemen stood at DH 485 million in 2015."" ReliefWeb, July 29, 2015. [1]
*   Exchange-Rates.org. ""AED to USD Exchange Rate History for 2015."" Accessed December 9, 2025. [2]
*   United Nations Office for the Coordination of Humanitarian Affairs (OCHA). ""Yemen 2015 | Financial Tracking Service - OCHA."" Accessed December 9, 2025. [3]
*   ReliefWeb. ""UAE aid to Yemen at AED 744 million : MICAD."" August 14, 2015. [4]
*   FARA. ""UAE provided over US$4 billion in assistance to Yemen in..."" September 21, 2018. [5]","Medium: The total aid amount and its breakdown are sourced from official UAE government reports and WAM news agency, which are considered authoritative. However, specific beneficiary numbers for the *single year 2015* are not clearly separated from multi-year totals (April 2015-2018), leading to a reliance on a single project's funding data for a specific sector (Water, Sanitation, and Hygiene) from OCHA FTS. The data on the total aid amount is highly reliable.",
Saudi Arabia humanitarian aid and military operations Yemen 2015,Saudi Arabia humanitarian aid and military operations Yemen 2015,"The year 2015 marked Saudi Arabia's decisive entry into the Yemen conflict, characterized by a dual strategy of military intervention and large-scale humanitarian aid. The military campaign began with **Operation Decisive Storm** on March 26, 2015, which concluded on April 21, 2015, and was immediately followed by **Operation Restoring Hope** on April 22, 2015 [3] [4]. This military action significantly escalated the conflict, with the year 2015 recording approximately **17,100** total reported fatalities and an estimated **4,500** reported civilian fatalities from direct targeting, making it the deadliest year for anti-civilian violence on record at that time [2]. The Saudi-led coalition was responsible for the highest number of reported civilian fatalities from direct targeting since 2015, accounting for around 67% of the total [2]. Concurrently, Saudi Arabia committed substantial humanitarian funding, totaling **US$322,305,356** in 2015, primarily channeled through the newly established King Salman Humanitarian Aid and Relief Center (KSRelief) [1]. This aid focused on critical sectors such as Food Security, Health, and Logistics, with one reported distribution providing 100,000 food parcels to an estimated 600,000 beneficiaries in Aden and Lahj Governorates [1].","* Total Saudi humanitarian funding to Yemen in 2015: US$322,305,356
* Total reported fatalities in Yemen in 2015 (all parties): Approximately 17,100
* Reported civilian fatalities from direct targeting in Yemen in 2015: Approximately 4,500
* Start date of Operation Decisive Storm: March 26, 2015
* End date of Operation Decisive Storm: April 21, 2015
* Start date of Operation Restoring Hope: April 22, 2015
* Beneficiaries of one food parcel distribution (Aden and Lahj Governorates): 600,000 people","* UN OCHA Financial Tracking Service. *Saudi Arabia (Kingdom of), Government of 2015*.
* Armed Conflict Location & Event Data Project (ACLED). *Yemen War Death Toll Exceeds 90,000 According to New ACLED Data for 2015*, 2019.
* Wikipedia. *Saudi-led intervention in the Yemeni civil war*.
* United Nations Security Council. *A/HRC/39/43* (General Assembly), 2018.","High: Data is sourced from authoritative international bodies (UN OCHA FTS) and major conflict data organizations (ACLED), providing specific, verifiable figures for both humanitarian aid and military impact in 2015.",
"Yemen GDP, inflation, currency exchange rate, trade balance 2015","Yemen GDP, inflation, currency exchange rate, trade balance 2015 in Yemen for the year 2015.","The year 2015 marked the onset of a severe economic crisis in Yemen, triggered by the escalation of conflict in March 2015. The economy experienced a catastrophic contraction, with the **Gross Domestic Product (GDP) growth rate** plummeting to **-36.1%** at constant 2015 prices [1]. This contraction led to a significant drop in the nominal GDP to **$24.819 billion** and a corresponding decline in **GDP per capita** to **$870.3** [1]. The conflict severely disrupted oil exports, a primary source of foreign currency, and crippled the country's trade balance. The **trade balance** recorded a massive deficit of **$6.063 billion**, resulting from exports of only **$510 million** against imports of **$6.573 billion** [1]. The disruption to supply chains and the Central Bank of Yemen's (CBY) inability to maintain foreign exchange reserves led to a surge in prices, with the **annual inflation rate** reaching **22.00%** [2]. Despite the economic turmoil, the CBY initially maintained the **official exchange rate** at approximately **215.11 Yemeni Rials per 1 US Dollar** for most of the year, particularly for subsidized essential imports, before the parallel market began to diverge significantly [3] [4]. This maintenance of the official rate was a key policy event, attempting to stabilize the cost of essential goods amidst the conflict [4].
[1]: UN Data, ""Yemen,"" (2024)
[2]: YCharts, ""Yemen Inflation Rate Outlook, Average Consumer Prices,"" (2024)
[3]: Exchange-Rates.org, ""YER to USD Exchange Rate History for 2015,"" (2024)
[4]: Sana'a Center for Strategic Studies, ""Beware of the failure of Yemen's central bank,"" (2016)","* GDP (current US$): 24,819 million [1]
* GDP growth rate (annual %, constant 2015 prices): -36.1% [1]
* GDP per capita (current US$): 870.3 [1]
* Inflation (annual %): 22.00% [2]
* Official Exchange Rate (period average): 215.11 Yemeni Rials per 1 US Dollar [3]
* International Trade Exports (million current US$): 510 [1]
* International Trade Imports (million current US$): 6,573 [1]
* International Trade Balance (million current US$): -6,063 [1]","* UN Data, ""Yemen,"" (2024)
* YCharts, ""Yemen Inflation Rate Outlook, Average Consumer Prices,"" (2024)
* Exchange-Rates.org, ""YER to USD Exchange Rate History for 2015,"" (2024)
* Sana'a Center for Strategic Studies, ""Beware of the failure of Yemen's central bank,"" (2016)","Medium/High: Data for GDP, GDP growth, and trade balance is consistent across UN and World Bank sources, reflecting the severe economic contraction. The inflation rate is sourced from a reputable economic data provider (YCharts) and is consistent with the conflict's impact, though a direct IMF/WB report for the exact 2015 figure was not programmatically accessible. The exchange rate is the official pre-conflict rate, which was maintained for most of the year. The data reflects the high volatility and uncertainty of the period.",
"Yemen conflict timeline, territorial control, humanitarian impact 2015","Yemen conflict timeline, territorial control, humanitarian impact 2015 in Yemen for the year 2015.","The year 2015 marked the critical escalation and internationalization of the conflict in Yemen, transforming a civil war into a regional proxy conflict. The timeline of the conflict was defined by two major phases: the rapid Houthi-Saleh advance and the subsequent counter-offensive by the Saudi-led coalition. The conflict intensified in March 2015 when Houthi-Saleh forces seized control over most of Aden on March 23, prompting President Abdrabbuh Mansour Hadi to flee to Saudi Arabia [1]. This event immediately triggered the intervention of a Saudi-led coalition, which began military operations, known as ""Operation Decisive Storm,"" with air strikes on March 26, 2015 [1]. In April 2015, the United Nations Security Council passed Resolution 2216, which demanded the Houthi-Saleh forces withdraw and cease violence [1]. Territorial control shifted significantly in the summer, with the Saudi-led coalition and allied forces successfully retaking Aden between July and August 2015 [1]. The humanitarian impact was immediate and catastrophic, with the number of people requiring assistance soaring. By November 30, 2015, an estimated **21.2 million** people, or 82% of the population, required some form of humanitarian assistance [2]. The crisis also resulted in massive displacement, with **2.5 million** people internally displaced by the end of November [2]. The humanitarian response was severely underfunded relative to the need, with the Yemen Humanitarian Response Plan (YHRP) only 46% funded by September 30, 2015, receiving **US$732 million** against a requirement of **$1.6 billion** [3]. The total incoming funding reported to the OCHA Financial Tracking Service for 2015 reached **US$1.76 billion** [4]. The violence led to significant casualties, with over **2,800 deaths** and close to **13,000 injuries** reported in hospitals by June 22, 2015 [5].","* 21.2 million people – Required humanitarian assistance (82% of the population) as of November 30, 2015
* 11.7 million people – Targeted for assistance through the Yemen Humanitarian Response Plan (YHRP)
* 2.5 million people – Internally Displaced Persons (IDPs) as of November 30, 2015
* US$1.6 billion – Total requirement for the Yemen Humanitarian Response Plan (YHRP)
* US$732 million – Contributions received for the YHRP as of September 30, 2015 (46% funded)
* US$1.76 billion – Total incoming funding reported to OCHA FTS for 2015
* 2,800+ deaths and 13,000 injuries – Reported in hospitals by June 22, 2015","* Congressional Research Service. *Yemen: Civil War and Regional Intervention* (R43960). By Jeremy M. Sharp, March 21, 2019.
* OCHA. *Yemen: Humanitarian Dashboard (as of 30 November 2015)*. November 30, 2015.
* OCHA. *Humanitarian Funding Update (as of 30 September 2015)*. September 30, 2015.
* OCHA Financial Tracking Service (FTS). *Yemen 2015 Summary*. Data as of March 5, 2023.
* OCHA. *Yemen: Humanitarian Catastrophe Situation Report No. 12*. June 22, 2015.","High: The data is sourced directly from primary, authoritative, and official international organizations (UN OCHA) and a highly credible government research body (Congressional Research Service), providing specific dates and figures for the 2015 period. The figures are consistent across multiple reports from the same sources.",
