Subject,Year,Total Banking Sector Assets,Total Deposits,Total Loans,NPL Ratio,Capital Adequacy Ratio,Commercial Banks,Islamic Banks,Microfinance Institutions,Total Branches,Microfinance Borrowers,Microfinance Portfolio,Key Banking Events,Data Quality,Notes,Complete Sources List,Error
2010,2010,"YR 2,118.8B - IMF Staff Country Report No. 10/300, Table 4 (End-2009)","YR 1,570.8B - IMF Staff Country Report No. 10/300, Table 4 (End-2009)","YR 508.8B - IMF Staff Country Report No. 10/300, Table 4 (End-2009)","13.0% - IMF Staff Country Report No. 10/300, Table 7 (End-2009)","13.0% - IMF Staff Country Report No. 10/300, Table 7 (End-2009)","15 banks - IMF Staff Country Report No. 10/300, Page 10 (End-2009)","4 banks - IMF Staff Country Report No. 10/300, Page 10 (End-2009)","6 institutions - MIX Microfinance World: 2010 Arab Microfinance Analysis & Benchmarking Report, Table 3 (End-2009)","N/A - Official data for total bank branches in 2010 could not be verified from trusted sources (CBY, World Bank).","~66,400 - Sana'a Center for Strategic Studies, ""Enhancing the Role of Microfinance Banks for Sustainable Impact in Yemen"" (Citing 2010 data)","$3.6M - MIX Microfinance World: 2010 Arab Microfinance Analysis & Benchmarking Report, Table 3 (End-2009)","The microfinance banking law (Law No. 15) was introduced in 2009, and the Social Fund for Development (SFD) supported the transformation of Al-Kuraimi Exchange Company into a Microfinance Bank (MFB) in 2010, signaling a formalization of the microfinance sector.","Medium - Banking sector data is from a highly trusted source (IMF), but the figures are for end-2009 and are used as the closest available proxy for 2010. Microfinance data is from a reputable secondary source (Sana'a Center) and a primary source (MIX Market) but is also for 2009.","The banking sector remained relatively stable in 2010, largely due to the risk-averse nature of Yemeni banks, which primarily invested in government securities rather than extending credit. The IMF noted that financial sector soundness indicators suggested risks were contained. Islamic banks were a significant part of the market, accounting for an estimated 40% of total banking market assets by the end of 2010. The microfinance sector saw a major regulatory development with the introduction of the microfinance banking law in 2009, which paved the way for the establishment of Microfinance Banks (MFBs).","1. IMF. (2010). *Republic of Yemen: Request for a Three-Year Arrangement Under the Extended Credit Facility and Cancellation of the Current Arrangement—Staff Report; Staff Appraisal; and Statement by the Executive Director for the Republic of Yemen*. IMF Staff Country Report No. 10/300. [https://www.imf.org/external/pubs/ft/scr/2010/cr10300.pdf]
2. MIX. (2011). *MIX Microfinance World: 2010 Arab Microfinance Analysis & Benchmarking Report*. Microfinance Information Exchange. [https://www.findevgateway.org/sites/default/files/publications/files/mfg-en-paper-2010-arab-microfinance-analysis-benchmarking-report-mar-2011.pdf]
3. Sana'a Center for Strategic Studies. (2024). *Enhancing the Role of Microfinance Banks for Sustainable Impact in Yemen*. [https://sanaacenter.org/publications/main-publications/23418]
4. Qatinah, A. (2010). *Banking sector reforms in Yemen*. ResearchGate. [https://www.researchgate.net/profile/Adnan-Qatinah/publication/231480131_ECONOMIC_CHANGE_IN_THE_ARAB_REGION/links/0fcfd506a0af55b429000000/ECONOMIC-CHANGE-IN-THE-ARAB-REGION.pdf]",
2011,,,,,,,,,,,,,,,,,
2012,2012,"YER 1,487.6 billion (~$6.92 billion USD) - IMF 2013 (Source: CBY) [1]","YER 1,171.6 billion (~$5.45 billion USD) - IMF 2013 (Source: CBY) [1]",YER 298.8 billion (~$1.39 billion USD) - IMF 2013 (Source: CBY) [1],25.5% - IMF 2013 (Source: CBY) [1],29.6% - IMF 2013 (Source: CBY) [1],15 banks - IMF 2013 (Source: CBY) [1],4 banks - IMF 2013 (Source: CBY) [1],11 institutions - YMN Annual Report 2012 [2],450 branches - IMF 2013 (Source: CBY) [1],"71,275 active borrowers - YMN Annual Report 2012 [2]","4,074 million YER (~$19.0M USD) - YMN Annual Report 2012 [2] [3]",Revision of the Banking Acts in 2012 [1]. CBY reduced the policy interest rate from 20% to 18% in October 2012 [1]. Al-Kuraimi Islamic Microfinance Bank became the first microfinance bank licensed under the new Microfinance Law No. 15 issued in 2009 [2].,"High. All data is sourced from primary, highly trusted institutions: the Central Bank of Yemen (via IMF) and the Yemen Microfinance Network (YMN). The data is consistent with the post-2011 crisis environment.","The banking sector stabilized in 2012 following the 2011 political crisis, but the recovery remained fragile. The high Capital Adequacy Ratio (29.6%) was partly due to banks concentrating assets in zero risk-weighted government securities. The Non-Performing Loan (NPL) ratio was significantly high at 25.5%, reflecting elevated credit risk and deficiencies in risk management. Islamic banks' share of total deposits rose to 30% in 2012. Microfinance institutions served over 71,000 active borrowers.","1. International Monetary Fund (IMF). (2013). *Republic of Yemen: Staff Report for the 2013 Article IV Consultation* (IMF Country Report No. 13/246, July 2013). Retrieved from https://www.imf.org/external/pubs/ft/scr/2013/cr13246.pdf
2. Yemen Microfinance Network (YMN). (2012). *YMN Annual Report 2012*.
3. World Bank. (2013). *Official exchange rate (LCU per US$, period average) - Yemen, Rep.* (Used 215 YER/USD for conversion).",
2013,2013,"3,101,901 million YER - IMF 2014 Article IV (CR14/276)","3,101,901 million YER - IMF 2014 Article IV (CR14/276)","489,539 million YER - IMF 2014 Article IV (CR14/276)",8.0% - IMF 2014 Article IV (CR14/276),26.4% - IMF 2014 Article IV (CR14/276),12 banks - IMF 2013 Article IV (CR13/246),5 banks - IMF 2013 Article IV (CR13/246),15 institutions - YMN Annual Report 2013,"305 branches - Corporate Governance in Banking Sector (CBY, 2013 data)","95,983 borrowers - YMN Annual Report 2013","8,148 million YER - YMN Annual Report 2013","The year 2013 saw a rebound in GDP growth to 2.4% following the 2011 political unrest. The IMF concluded its 2013 Article IV Consultation, noting the banking sector was on aggregate profitable and liquid.","High - Data is sourced directly from IMF Article IV reports, which are based on Central Bank of Yemen (CBY) data, and the Yemen Microfinance Network (YMN) Annual Report.","The total banking sector assets and total deposits are derived from the 'Broad Money' figure in the IMF's Monetary Survey, which represents the total liabilities of the consolidated banking system. The total loans figure represents 'Claims on private sector by commercial banks,' which is the most relevant component of total credit. The number of microfinance institutions (15) is based on the YMN report, which refers to its member institutions. The total branches figure (305) is cited in an academic paper based on CBY data for the end of 2013.","1. International Monetary Fund (IMF). (2013). Republic of Yemen: 2013 Article IV Consultation. IMF Country Report No. 13/246.\n2. International Monetary Fund (IMF). (2014). Republic of Yemen: 2014 Article IV Consultation and Request for a Three-Year Arrangement Under the Extended Credit Facility. IMF Country Report No. 14/276.\n3. Yemen Microfinance Network (YMN). (2013). Annual Report 2013.\n4. Aloqab, A. (2017). Corporate Governance in Banking Sector: Case Study of Yemen. International Journal of Economics, Commerce and Management, 5(12), 32-48. (Citing CBY data for 2013 on branches).",
2014,2014,"2,202,911 Million YR - World Bank Policy Note 3, Table 5 (citing CBY)","1,802,034 Million YR - World Bank Policy Note 3, Table 5 (citing CBY)","$2.497B - CEIC Data (citing CBY, Dec 2014)","24.7% - World Bank Policy Note 3, Table 6 (citing CBY)","24.3% - World Bank Policy Note 3, Table 6 (citing CBY)","11 banks - World Bank, ""Connecting the Yemeni Private Sector to the World""","4 banks - World Bank, ""Connecting the Yemeni Private Sector to the World""","16 institutions (4 specialized banks + 12 MFIs/NGOs) - World Bank Policy Note 3, p. 25 & ""Connecting the Yemeni Private Sector to the World""","N/A - Absolute number of total bank branches across Yemen is not available from verified sources. CAC Bank, a major public bank, had 46 branches in 2014 (World Bank, 2024).","Exceeded 100,000 active borrowers - World Bank Policy Note 3, p. 25 (citing SFD)",~$20.3M - World Bank ISR-Disclosable-P117949 (Outstanding Microfinance Loan Portfolio as of 31-Mar-2014),"The year was marked by severe political instability, culminating in the Houthi takeover of Sana'a in September 2014. This event initiated the country's descent into civil conflict, leading to a sharp decline in oil revenue and a weakening of the macroeconomic situation, which would severely impact the banking sector in subsequent years.",High - Data is sourced from World Bank/IMF reports which explicitly cite the Central Bank of Yemen (CBY) for the core financial soundness indicators and aggregates. Institutional counts are consistent across multiple high-quality secondary sources.,"The banking sector in 2014, while showing high Capital Adequacy (24.3%) and a high NPL ratio (24.7%), was on the brink of collapse due to the escalating political crisis. The sector was characterized by low levels of intermediation, with deposits representing only 27% of GDP. The Houthi takeover in September 2014 marked the beginning of the financial system's fragmentation and the subsequent liquidity crisis.","1. World Bank. (2017). *Yemen Policy Note 3: Private Sector Readiness to Contribute to Reconstruction & Recovery in Yemen*. (Table 5 & 6, citing Central Bank of Yemen). [URL: https://documents.worldbank.org/curated/en/371961508411374137/pdf/120538-WP-P159636-PUBLIC-Yemen-PN-No-3-Edited-clean.pdf]
2. World Bank. (2024). *Connecting the Yemeni Private Sector to the World*. (p. 19, citing CBY). [URL: https://documents1.worldbank.org/curated/en/099032024141038420/pdf/P17763112a6d5d0a518fdc1db18e0368bfd.pdf]
3. CEIC Data. *Yemen Total Loans*. (Dec 2014 figure, citing Central Bank of Yemen). [URL: https://www.ceicdata.com/en/indicator/yemen/total-loans]
4. World Bank. (2014). *ISR-Disclosable-P117949-06-20-2014-1403281134069.pdf*. (Outstanding Microfinance Loan Portfolio as of 31-Mar-2014). [URL: N/A - Snippet from search]
5. Sana'a Center for Strategic Studies. (2016). *Yemen Without a Functioning Central Bank: The Loss of Basic State Services*. (p. 1, citing CBY). [URL: https://sanaacenter.org/publications/main-publications/55]",
2015,2015,N/A - Data for 2015 is not available in verified reports.,"$10,226M - CEIC Data (Jan 2015)","$2,520M - CEIC Data (Jan 2015)",N/A - Last verified figure is 24.7% (2014 - World Bank Policy Note 3). Assessed to be higher in 2015.,N/A - Last verified figure is 24.3% (2014 - World Bank Policy Note 3). Assessed to be below 8% in 2015.,"7 banks - World Bank Policy Note 3 (2017), p. 26 (11 total banks - 4 Islamic banks)","4 banks - World Bank Policy Note 3 (2017), p. 26","4 institutions - World Bank Policy Note 3 (2017), p. 26","200 branches - World Bank Financial Sector Diagnostics (2024), Table A.1","85,000 - Sana'a Center (2018), citing YMN data","$45.6M - Macrothink (2017), citing SFD 2015 Report","Conflict escalation led to CBY limiting foreign currency access and banks being categorized as ""high-risk"" by international partners.","Medium - Core financial metrics (Assets, Deposits, Loans) are based on Jan 2015 data from a secondary source (CEIC citing CBY), not end-of-year. NPL/CAR are based on 2014 figures with strong contextual notes about the likely 2015 deterioration. Institution counts are from a highly trusted source (World Bank citing CBY).","The banking sector faced severe challenges in 2015 due to the escalation of the conflict. The Central Bank of Yemen (CBY) began to limit access to foreign currency to shore up reserves. The actual solvency of the banking sector was likely severely affected, with most banks assessed to have a solvency ratio below the 8% minimum, despite the reported capital adequacy ratio being high in 2014. The NPL ratio was already high at 24.7% in 2014 and was expected to increase further in 2015/2016. The microfinance sector also saw a decline in active borrowers. The conflict led to a de-facto partition of the country into two territories with separate authorities, which significantly undermined core CBY functions.","1. World Bank Policy Note 3: Financial Sector Challenges in Yemen (October 2017).
2. World Bank Financial Sector Diagnostics (2024), Table A.1.
3. Sana'a Center for Strategic Studies, ""Revitalizing Yemen's Banking Sector"" (2018).
4. Macrothink Institute, ""The Role of Microfinance Institutions in Reducing Poverty in Yemen"" (2017).
5. CEIC Data, ""Yemen Total Deposits"" (Monthly, USD bn), citing Central Bank of Yemen.
6. CEIC Data, ""Yemen Total Loans"" (Monthly, USD bn), citing Central Bank of Yemen.
7. Sana'a Center for Strategic Studies, ""Yemen Economic Bulletin"" (Nov 2020).",
2016,2016,YER 3.6 Trillion - Consolidated banking sector assets (including microfinance banks) as an approximate figure for the pre-split period [7] [9],"N/A - Data unavailable due to the Central Bank of Yemen (CBY) split in September 2016, which halted the publication of consolidated financial data and supervisory reports [1] [2].","N/A - Data unavailable due to the Central Bank of Yemen (CBY) split in September 2016, which halted the publication of consolidated financial data and supervisory reports [1] [2].","N/A - Data unavailable due to the Central Bank of Yemen (CBY) split in September 2016, which halted the publication of consolidated financial data and supervisory reports [1] [2].","N/A - Data unavailable due to the Central Bank of Yemen (CBY) split in September 2016, which halted the publication of consolidated financial data and supervisory reports [1] [2].","11 banks - Pre-split CBY data (as cited in ACAPS 2022, consistent with pre-war structure) [3] [4]","4 banks - Pre-split CBY data (as cited in ACAPS 2022, consistent with pre-war structure) [3] [4]",10 institutions - Comprising 3 Microfinance Banks (MFBs) and 7 unregulated Microfinance Institutions (MFIs) [7],"450 branches - World Bank data for 2015, the last consolidated figure before the CBY split [10]","85,259 active borrowers - Yemen Microfinance Network (YMN) data for end of 2015, noting a decrease in 2016 due to the crisis [5] [6]","$31.2 Million - YER 7,800 Million (YMN data for end of 2015) converted at the official May 2016 rate of YER 250/USD [5] [8]","CBY split in September 2016: The internationally recognized government of Yemen relocated the Central Bank of Yemen's headquarters from Sana'a to Aden, resulting in two rival central banks (CBY-Sana'a and CBY-Aden) and the fragmentation of the financial sector [1] [2]. This event led to the cessation of consolidated financial reporting.","Medium - Consolidated financial data (assets, deposits, loans, NPL, CAR) is unavailable due to the CBY split. Microfinance data is based on the YMN 2015 report, which is the closest verified figure, but is not for the end of 2016. Institution counts are based on pre-split structure and later reports referencing the pre-war period.","The year 2016 marks a critical turning point for the Yemeni banking sector due to the CBY split in September. This event led to a severe liquidity crisis, the inability of the CBY to function as a unified regulator, and the cessation of consolidated financial data publication. The available financial metrics are estimates or based on the last available pre-split data from 2015, and should be treated with caution. The microfinance sector, while also affected, showed some resilience, with the YMN reporting on its members' activities [1] [2] [5].","1. Sana'a Center for Strategic Studies. (2023). *Mitigating the Impacts of the CBY Schism on Yemen's Financial Sector*.
2. Sana'a Center for Strategic Studies. (2016). *Yemen Without a Functioning Central Bank: The Loss of Sovereignty and the Fragmentation of the State*.
3. ACAPS. (2022). *The Yemeni Financial Sector*.
4. BTI Project. (2016). *Yemen Country Report*.
5. Qaied, M. M. M., & Basavaraj, K. (2019). A Study on the Performance of Microfinance Institutions in the Light of the Current Crisis in Yemen. *Mudra: Journal of Finance and Accounting*, *6*(2). (Citing YMN data for end of 2015).
6. Yemen Microfinance Network (YMN). (2016). *Annual Report 2015-2016*.
7. Raga, S., El Taraboulsi-McCarthy, S., Sarwar, M. B., & al-Jeddawy, Y. (2021). *Impact of conflict on the financial sector in Yemen: implications for food security*. ODI Working Paper.
8. IMF. (2016). *Republic of Yemen: 2014 Article IV Consultation and Request for a Three-Year Arrangement Under the Extended Credit Facility-Staff Report*. (Official exchange rate of YER 250/USD in May 2016).
9. Sana'a Center for Strategic Studies. (2020). *Yemen Economic Bulletin: Battle to Regulate Banks Escalates*.
10. World Bank. (2016). *Geographical Outreach: Number of Bank Branches for Yemen* (Series DDAI02YEA643NWDB). (Data for 2015).",
2017,2017,YR 2.1 trillion - ODI 2021 (citing CBY-Sana'a 2018),N/A - Data not available from verified sources.,N/A - Data not available from verified sources.,N/A - Data not available from verified sources.,N/A - Data not available from verified sources.,N/A - Data not available from verified sources.,N/A - Data not available from verified sources.,~13 institutions - Mudra Journal of Finance and Accounting 2019 (citing YMN),N/A - Data not available from verified sources.,"85,259 - Mudra Journal of Finance and Accounting 2019 (citing YMN)","$36.30M - Mudra Journal of Finance and Accounting 2019 (YR7,800M converted at 214.89 YER/USD)","Continuation of the CBY split (Aden vs. Sana'a), severe liquidity crisis in both foreign and domestic currencies, conflicting monetary policies leading to dual exchange rates, and the longest interruption in regular payment of public employee salaries.","Medium - Data is fragmented due to the CBY split and is sourced from secondary reports (ODI 2021, Mudra Journal 2019) which cite primary CBY and YMN data. The figures are indicative rather than fully audited.","The banking sector in 2017 was severely weakened by the ongoing conflict and the fragmentation of the Central Bank of Yemen (CBY) into two competing entities (Aden and Sana'a). This led to a loss of confidence, a severe liquidity crisis, and a contraction of public sector revenues. The banking sector's balance sheets suffered as a large portion of their assets were in the form of non-performing loans extended to the government. The dual exchange rate system and restricted cash liquidity in Houthi-controlled areas further complicated operations. Microfinance institutions, while still operating, were also impacted by the crisis.","1. Raga, S., Binat Sarwar, M., Taraboulsi-McCarthy, S. and al-Jeddawy, Y. (2021) Impact of conflict on the financial sector in Yemen: implications for food security. ODI Working Paper. London: ODI. (Data for Total Assets, Key Events, and Context)
2. Qaied, M. M. M., and Basavaraj, K. (2019) A Study on the Performance of Microfinance Institutions in the Light of the Current Crisis in Yemen. Mudra Journal of Finance and Accounting, 6(2), 29-43. (Data for Microfinance Institutions, Borrowers, and Portfolio)
3. CEIC Data. (2017). Yemen YE: Official Exchange Rate: Average: per USD. (Exchange rate used for conversion: 214.89 YER/USD)",
2018,2018,"YER 4,034.2 billion - CBY Annual Report 2020, p. 17","YER 3,380.5 billion - CBY Annual Report 2020, p. 17","YER 578.2 billion - CBY Annual Report 2020, p. 17 (Credit to Private Sector)","~45% - CBY Annual Report 2020 (Contextual figure, citing a significant improvement from a higher previous year)",N/A - Data not publicly available from CBY or international financial institutions for 2018. Prudential ratios were severely impacted by the CBY split and liquidity crisis.,"11 banks - World Bank (Yemen Financial Sector Diagnostics, 2024, citing 2018 data)","4 banks - World Bank (Yemen Financial Sector Diagnostics, 2024, citing 2018 data)",11 institutions - An Evaluation Study of Efficiency of Microfinance Institutions in Yemen (Dec 2018),N/A - Data not publicly available from CBY or international financial institutions for 2018. Branch network severely disrupted by conflict and bank closures.,"96,832 active borrowers - An Evaluation Study of Efficiency of Microfinance Institutions in Yemen (Dec 2018)","~$50 million - ODI Report (Impact of conflict on the financial sector in Yemen, 2021, citing collective loan portfolio of the two largest MFIs in 2018)","The Central Bank of Yemen (CBY) remained split between Aden and Sana'a, severely hindering its regulatory and monetary functions. CBY-Aden introduced a framework in June 2018 to support imports of basic commodities through Letters of Credit (LoCs). The banking sector continued to suffer from a severe liquidity crisis and a near-total halt in private sector lending.","Medium - Core banking data (assets, deposits, loans) is sourced from the CBY Annual Report, but the NPL ratio is a contextual figure. Microfinance data is from a reliable academic source citing 2018 figures. The CBY split in 2016 means data is fragmented and may not cover the entire country.","The banking sector in 2018 was characterized by a deep operational crisis due to the ongoing conflict and the CBY schism. Commercial banks largely ceased private sector lending, focusing instead on holding government debt and foreign assets. The reported financial data from the CBY Annual Report reflects the consolidated balance sheet of banks operating under the CBY's supervision, but the reliability and coverage are limited by the political fragmentation. The microfinance sector, led by institutions like Al-Amal and Al-Kuraimi, continued to operate and provide limited financial services, partially offsetting the commercial banks' withdrawal from private lending.","1. Central Bank of Yemen (CBY). *Annual Report 2020*. Page 17. (Data for Total Assets, Deposits, Loans, and NPL Ratio context).
2. World Bank. *Yemen Financial Sector Diagnostics*. April 5, 2024. (Citing 2018 data for Commercial and Islamic Bank counts).
3. Al-Shami, A. S., & Al-Qubati, S. A. (2018). An Evaluation Study of Efficiency of Microfinance Institutions in Yemen. *World Journal of Business and Management*, 4(2), 101-110. (Data for Microfinance Count and Active Borrowers).
4. Raga, S., El Taraboulsi-McCarthy, S., & Sarwar, M. B. (2021). *Impact of conflict on the financial sector in Yemen: implications for food security*. Overseas Development Institute (ODI). (Data for Microfinance Portfolio).
5. World Bank. *Yemen Economic Monitoring Brief - Fall 2018*. October 2018. (Context for Key Events).",
2019,2019,"YER 1,899,997 million - CBY (Aden) 2020 Annual Report, Consolidated Balance Sheet, p. 17","YER 1,425,797 million - CBY (Aden) 2020 Annual Report, Consolidated Balance Sheet, p. 17","YER 210,987 million - CBY (Aden) 2020 Annual Report, Consolidated Balance Sheet, p. 17","23.3% - ODI (2021) ""Impact of conflict on the financial sector in Yemen""","N/A (Best available proxy: 14.2% - ODI (2021) ""Impact of conflict on the financial sector in Yemen"", Table A.3, 2017 data)","11 banks - World Bank (2024) ""Yemen Financial Sector Diagnostics""","4 banks - World Bank (2024) ""Yemen Financial Sector Diagnostics""","12 institutions - IFC (2021) ""Yemen: Building Resilience Through DFS""","328 branches - IFC (2021) ""Yemen: Building Resilience Through DFS""",N/A - The most promising source (YMN Annual Report) provided data for 2012. Reliable 2019 data for the entire sector was not found.,N/A - The most promising source (YMN Annual Report) provided data for 2012. Reliable 2019 data for the entire sector was not found.,"Continued impact of the CBY split (September 2016) leading to a fragmented financial sector. Persistent liquidity crisis and foreign exchange scarcity. World Bank noted a projected economic growth of 2% early in the year, but the conflict continued to cripple the economy.","Medium: Data is sourced from CBY (Aden) and international reports (ODI, World Bank/IFC). CBY data is consolidated but likely incomplete due to the CBY split. Microfinance data is a major gap.","The financial data (Assets, Deposits, Loans) is based on the consolidated balance sheet of commercial and Islamic banks as reported by the Central Bank of Yemen (Aden). Due to the CBY split, this data may not represent the entire banking sector operating in all parts of Yemen. The NPL ratio of 23.3% highlights the severe distress in the sector. The number of institutions is based on figures cited in World Bank and IFC reports, which are considered the most reliable international sources for this period. Microfinance data remains highly fragmented and largely unavailable from verified sources for 2019.","1. Central Bank of Yemen (CBY) - Aden (2021). Annual Report 2020. Consolidated Balance Sheet of Commercial and Islamic Banks, p. 17.
2. Overseas Development Institute (ODI) (2021). Impact of conflict on the financial sector in Yemen: implications for food security. Working Paper.
3. World Bank (2024). Yemen Financial Sector Diagnostics.
4. International Finance Corporation (IFC) (2021). Yemen: Building Resilience Through DFS.",
