Subject,Year,GDP (Billions USD),GDP Growth %,Inflation %,Exchange Rate Aden,Exchange Rate Sanaa,People in Need (M),Food Insecure (M),Aid Required ($B),Aid Received ($B),Major Events,Error
2016,2016,27.60,-9.38,21.30,250,315,21.2,14.4,1.63,1.03,"President Hadi moves the Central Bank of Yemen from Sanaa to Aden, effectively splitting the country's financial system; UN revises the 2016 Humanitarian Response Plan, appealing for $1.63 billion to reach 12.6 million people; Peace talks in Kuwait collapse in August, leading to a major escalation of fighting and the collapse of a UN-brokered ceasefire.",
2017,2017,26.84,-5.07,24.70,250,321,18.8,17.1,2.34,2.36,Second major cholera outbreak (April 2017); Assassination of Ali Abdullah Saleh (December 2017); Saudi-led coalition imposes total blockade (November 2017),
2018,2018,21.61,0.80,15.90,493,250,22.2,17.8,3.11,2.50,Battle of Aden (Jan 28-31); Dahyan school bus airstrike (Aug 9); Stockholm Agreement (Dec),
2019,2019,21.88,-2.20,10.50,550,580,24.0,14.3,4.19,3.64,Southern Transitional Council (STC) forces seize Aden from the internationally recognized government (IRG);Riyadh Agreement signed between the IRG and the STC;Houthi forces claim responsibility for the major drone and missile attack on Saudi Aramco oil facilities,
2020,2020,9.42,-8.50,21.67,782,604,24.3,16.2,3.38,1.99,Saudi-led coalition declared a unilateral ceasefire in April; First confirmed COVID-19 case in Yemen on April 10; Houthi forces launched a major offensive on Marib,
2021,2021,19.91,-2.00,20.40,1000,600,20.7,16.2,3.85,2.42,Houthi offensive on Marib; Major currency depreciation in Aden; UN warns of famine and declares 16.2M food insecure,
2022,2022,23.50,1.50,29.51,1200,560,23.4,17.4,4.27,2.22,UN-brokered nationwide truce (April-October); Formation of the Presidential Leadership Council (PLC) in Aden; Houthi attacks on oil facilities and blockade of oil exports,
2023,2023,16.90,-2.00,0.86,1250,560,21.6,17.0,4.34,1.78,Saudi-Iran agreement to restore relations (March); Houthi attacks on commercial vessels in the Red Sea begin (October); Truce between warring parties expires without renewal (January),
2024,2024,19.10,-1.00,33.92,2053,560,18.2,17.6,2.71,2.77,"Escalation of Houthi attacks in the Red Sea and US/UK retaliatory strikes; Record depreciation of the Yemeni Rial in Aden to over 2,000 YER/USD; Houthi-Aden Central Bank conflict over bank relocation and new currency issuance",
2025,2025,17.35,-1.50,20.40,2628,534,19.5,18.1,2.34,0.73,US Treasury imposed largest sanctions against Houthis (Sep 2025); GoY launched broad financial and monetary reforms (mid-2025); US forces expanded strikes against Houthis (Mar-May 2025),
